model,adapter,task,ttc,target,feature_group,n,positives,base_rate,auroc,auprc
QwenHack,hack,pick_and_place_simple,32.0,future_gameable_hack_action,mean_phack,390,3,0.007692307692307693,0.5693367786391043,0.014790438319850083
QwenHack,hack,pick_and_place_simple,32.0,future_gameable_hack_action,late_phack,373,3,0.00804289544235925,0.11891891891891891,0.005928821212908752
QwenHack,hack,pick_and_place_simple,32.0,future_gameable_hack_action,entropy,373,3,0.00804289544235925,0.1297297297297297,0.006086877385081209
QwenHack,hack,pick_and_place_simple,32.0,future_gameable_hack_action,all,373,3,0.00804289544235925,0.13153153153153152,0.005966294886350988
QwenHack,hack,pick_and_place_simple,32.0,easy_grader_action,mean_phack,390,3,0.007692307692307693,0.9448751076658053,0.08390926811979443
QwenHack,hack,pick_and_place_simple,32.0,easy_grader_action,late_phack,373,3,0.00804289544235925,0.9873873873873873,0.7254901960784313
QwenHack,hack,pick_and_place_simple,32.0,easy_grader_action,entropy,373,3,0.00804289544235925,0.6261261261261261,0.03488455988455988
QwenHack,hack,pick_and_place_simple,32.0,easy_grader_action,all,373,3,0.00804289544235925,0.9927927927927928,0.6111111111111112
QwenHack,hack,pick_and_place_simple,32.0,future_easy_grader_action,mean_phack,390,3,0.007692307692307693,0.5693367786391043,0.014790438319850083
QwenHack,hack,pick_and_place_simple,32.0,future_easy_grader_action,late_phack,373,3,0.00804289544235925,0.11891891891891891,0.005928821212908752
QwenHack,hack,pick_and_place_simple,32.0,future_easy_grader_action,entropy,373,3,0.00804289544235925,0.1297297297297297,0.006086877385081209
QwenHack,hack,pick_and_place_simple,32.0,future_easy_grader_action,all,373,3,0.00804289544235925,0.13153153153153152,0.005966294886350988
QwenHack,hack,pick_and_place_simple,128.0,gameable_hack_action,mean_phack,390,3,0.007692307692307693,0.7691645133505598,0.02195778972479996
QwenHack,hack,pick_and_place_simple,128.0,gameable_hack_action,late_phack,376,3,0.007978723404255319,0.967828418230563,0.14056776556776557
QwenHack,hack,pick_and_place_simple,128.0,gameable_hack_action,entropy,376,3,0.007978723404255319,0.9410187667560322,0.13325581395348837
QwenHack,hack,pick_and_place_simple,128.0,gameable_hack_action,all,376,3,0.007978723404255319,0.9749776586237712,0.2698412698412698
QwenHack,hack,pick_and_place_simple,128.0,future_gameable_hack_action,mean_phack,390,3,0.007692307692307693,0.5219638242894056,0.015352386833414985
QwenHack,hack,pick_and_place_simple,128.0,future_gameable_hack_action,late_phack,376,3,0.007978723404255319,0.6639857015192137,0.035824866956942425
QwenHack,hack,pick_and_place_simple,128.0,future_gameable_hack_action,entropy,376,3,0.007978723404255319,0.6273458445040214,0.09250101220429174
QwenHack,hack,pick_and_place_simple,128.0,future_gameable_hack_action,all,376,3,0.007978723404255319,0.743521000893655,0.34673489278752434
QwenHack,hack,pick_and_place_simple,128.0,easy_grader_action,mean_phack,390,3,0.007692307692307693,0.7691645133505598,0.02195778972479996
QwenHack,hack,pick_and_place_simple,128.0,easy_grader_action,late_phack,376,3,0.007978723404255319,0.967828418230563,0.14056776556776557
QwenHack,hack,pick_and_place_simple,128.0,easy_grader_action,entropy,376,3,0.007978723404255319,0.9410187667560322,0.13325581395348837
QwenHack,hack,pick_and_place_simple,128.0,easy_grader_action,all,376,3,0.007978723404255319,0.9749776586237712,0.2698412698412698
QwenHack,hack,pick_and_place_simple,128.0,future_easy_grader_action,mean_phack,390,3,0.007692307692307693,0.5219638242894056,0.015352386833414985
QwenHack,hack,pick_and_place_simple,128.0,future_easy_grader_action,late_phack,376,3,0.007978723404255319,0.6639857015192137,0.035824866956942425
QwenHack,hack,pick_and_place_simple,128.0,future_easy_grader_action,entropy,376,3,0.007978723404255319,0.6273458445040214,0.09250101220429174
QwenHack,hack,pick_and_place_simple,128.0,future_easy_grader_action,all,376,3,0.007978723404255319,0.743521000893655,0.34673489278752434
QwenHack,hack,pick_and_place_simple,256.0,gameable_hack_action,mean_phack,390,5,0.01282051282051282,0.9267532467532467,0.2973643983310564
QwenHack,hack,pick_and_place_simple,256.0,gameable_hack_action,late_phack,367,5,0.013623978201634877,0.9806629834254144,0.28583333333333333
QwenHack,hack,pick_and_place_simple,256.0,gameable_hack_action,entropy,367,5,0.013623978201634877,0.856353591160221,0.059893390203294074
QwenHack,hack,pick_and_place_simple,256.0,gameable_hack_action,all,367,5,0.013623978201634877,0.9828729281767956,0.3069230769230769
QwenHack,hack,pick_and_place_simple,256.0,future_gameable_hack_action,mean_phack,390,5,0.01282051282051282,0.45454545454545453,0.016358536502051095
QwenHack,hack,pick_and_place_simple,256.0,future_gameable_hack_action,late_phack,367,5,0.013623978201634877,0.3237569060773481,0.01149886740174026
QwenHack,hack,pick_and_place_simple,256.0,future_gameable_hack_action,entropy,367,5,0.013623978201634877,0.34364640883977904,0.012757251800506585
QwenHack,hack,pick_and_place_simple,256.0,future_gameable_hack_action,all,367,5,0.013623978201634877,0.3331491712707182,0.01245064849350106
QwenHack,hack,pick_and_place_simple,256.0,easy_grader_action,mean_phack,390,5,0.01282051282051282,0.9267532467532467,0.2973643983310564
QwenHack,hack,pick_and_place_simple,256.0,easy_grader_action,late_phack,367,5,0.013623978201634877,0.9806629834254144,0.28583333333333333
QwenHack,hack,pick_and_place_simple,256.0,easy_grader_action,entropy,367,5,0.013623978201634877,0.856353591160221,0.059893390203294074
QwenHack,hack,pick_and_place_simple,256.0,easy_grader_action,all,367,5,0.013623978201634877,0.9828729281767956,0.3069230769230769
QwenHack,hack,pick_and_place_simple,256.0,future_easy_grader_action,mean_phack,390,5,0.01282051282051282,0.45454545454545453,0.016358536502051095
QwenHack,hack,pick_and_place_simple,256.0,future_easy_grader_action,late_phack,367,5,0.013623978201634877,0.3237569060773481,0.01149886740174026
QwenHack,hack,pick_and_place_simple,256.0,future_easy_grader_action,entropy,367,5,0.013623978201634877,0.34364640883977904,0.012757251800506585
QwenHack,hack,pick_and_place_simple,256.0,future_easy_grader_action,all,367,5,0.013623978201634877,0.3331491712707182,0.01245064849350106
QwenMix10,mix10,pick_and_place_simple,8.0,gameable_hack_action,mean_phack,90,2,0.022222222222222223,0.5965909090909091,0.065625
QwenMix10,mix10,pick_and_place_simple,8.0,gameable_hack_action,late_phack,90,2,0.022222222222222223,0.9602272727272728,0.375
QwenMix10,mix10,pick_and_place_simple,8.0,gameable_hack_action,entropy,90,2,0.022222222222222223,0.8068181818181818,0.07919254658385093
QwenMix10,mix10,pick_and_place_simple,8.0,gameable_hack_action,all,90,2,0.022222222222222223,0.9375,0.5769230769230769
QwenMix10,mix10,pick_and_place_simple,8.0,future_gameable_hack_action,mean_phack,90,2,0.022222222222222223,0.8863636363636364,0.12698412698412698
QwenMix10,mix10,pick_and_place_simple,8.0,future_gameable_hack_action,late_phack,90,2,0.022222222222222223,0.10795454545454547,0.018605378361475924
QwenMix10,mix10,pick_and_place_simple,8.0,future_gameable_hack_action,entropy,90,2,0.022222222222222223,0.11931818181818182,0.018714859437751006
QwenMix10,mix10,pick_and_place_simple,8.0,future_gameable_hack_action,all,90,2,0.022222222222222223,0.15340909090909088,0.01917562724014337
QwenMix10,mix10,pick_and_place_simple,8.0,easy_grader_action,mean_phack,90,2,0.022222222222222223,0.5965909090909091,0.065625
QwenMix10,mix10,pick_and_place_simple,8.0,easy_grader_action,late_phack,90,2,0.022222222222222223,0.9602272727272728,0.375
QwenMix10,mix10,pick_and_place_simple,8.0,easy_grader_action,entropy,90,2,0.022222222222222223,0.8068181818181818,0.07919254658385093
QwenMix10,mix10,pick_and_place_simple,8.0,easy_grader_action,all,90,2,0.022222222222222223,0.9375,0.5769230769230769
QwenMix10,mix10,pick_and_place_simple,8.0,future_easy_grader_action,mean_phack,90,2,0.022222222222222223,0.8863636363636364,0.12698412698412698
QwenMix10,mix10,pick_and_place_simple,8.0,future_easy_grader_action,late_phack,90,2,0.022222222222222223,0.10795454545454547,0.018605378361475924
QwenMix10,mix10,pick_and_place_simple,8.0,future_easy_grader_action,entropy,90,2,0.022222222222222223,0.11931818181818182,0.018714859437751006
QwenMix10,mix10,pick_and_place_simple,8.0,future_easy_grader_action,all,90,2,0.022222222222222223,0.15340909090909088,0.01917562724014337
QwenMix10,mix10,pick_and_place_simple,16.0,gameable_hack_action,mean_phack,90,5,0.05555555555555555,0.5270588235294118,0.0695951914312149
QwenMix10,mix10,pick_and_place_simple,16.0,gameable_hack_action,late_phack,89,5,0.056179775280898875,0.49523809523809526,0.062164685491485495
QwenMix10,mix10,pick_and_place_simple,16.0,gameable_hack_action,entropy,89,5,0.056179775280898875,0.7928571428571429,0.19934664246823958
QwenMix10,mix10,pick_and_place_simple,16.0,gameable_hack_action,all,89,5,0.056179775280898875,0.7404761904761905,0.15779479344185227
QwenMix10,mix10,pick_and_place_simple,16.0,future_gameable_hack_action,mean_phack,90,5,0.05555555555555555,0.9152941176470588,0.27856060606060606
QwenMix10,mix10,pick_and_place_simple,16.0,future_gameable_hack_action,late_phack,89,5,0.056179775280898875,0.8261904761904761,0.2376984126984127
QwenMix10,mix10,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,89,5,0.056179775280898875,0.9119047619047619,0.2738095238095238
QwenMix10,mix10,pick_and_place_simple,16.0,future_gameable_hack_action,all,89,5,0.056179775280898875,0.930952380952381,0.35549019607843135
QwenMix10,mix10,pick_and_place_simple,16.0,easy_grader_action,mean_phack,90,5,0.05555555555555555,0.5270588235294118,0.0695951914312149
QwenMix10,mix10,pick_and_place_simple,16.0,easy_grader_action,late_phack,89,5,0.056179775280898875,0.49523809523809526,0.062164685491485495
QwenMix10,mix10,pick_and_place_simple,16.0,easy_grader_action,entropy,89,5,0.056179775280898875,0.7928571428571429,0.19934664246823958
QwenMix10,mix10,pick_and_place_simple,16.0,easy_grader_action,all,89,5,0.056179775280898875,0.7404761904761905,0.15779479344185227
