model,adapter,task,ttc,target,feature_group,feature,n_good,n_bad,good_mean,bad_mean,delta_bad_minus_good,standardized_effect
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,late_phack,reasoning_p_hack_late_slope,86,2,-0.014881965669774332,-0.01013656060968055,0.004745405060093782,0.5461201582176477
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,late_phack,reasoning_p_hack_late_change,88,2,0.03925986486468797,0.0239460343582322,-0.015313830506455774,-0.19220647924821158
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,late_phack,action_p_hack_late_slope,85,2,-0.01488753431316007,-0.03684663504827765,-0.02195910073511758,-0.8427207344134001
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,late_phack,action_p_hack_late_change,88,2,0.01329229009688039,-0.0337653561728075,-0.04705764626968789,-0.32520203971875816
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,entropy,reasoning_entropy_mean,88,2,0.33352173573012184,0.5388454151544693,0.20532367942434743,0.9313597563125435
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,entropy,action_entropy_mean,88,2,0.10537585960606433,0.07577510055125455,-0.029600759054809772,-0.2360724740189379
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,entropy,reasoning_entropy_late_slope,86,2,0.11609588737062417,0.25654067500681776,0.1404447876361936,0.40232272509590744
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,entropy,reasoning_entropy_late_change,88,2,-0.6448270597564477,-1.1253338158130646,-0.48050675605661686,-0.9027977212929903
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,entropy,action_entropy_late_slope,85,2,0.014314012338667545,0.037873633817071053,0.023559621478403507,0.10649256045721463
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,entropy,action_entropy_late_change,88,2,-0.14158161201736552,-0.22266176901757714,-0.08108015700021162,-0.3018740674655238
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,reasoning_p_hack,88,2,0.07256993309190682,0.032351732821553,-0.04021820027035382,-1.0285076672073004
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,action_p_hack,88,2,0.13649103230373832,0.12560276396106923,-0.010888268342669094,-0.17166822137297752
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,reasoning_p_hack_late_slope,86,2,-0.014881965669774332,-0.01013656060968055,0.004745405060093782,0.5461201582176477
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,reasoning_p_hack_late_change,88,2,0.03925986486468797,0.0239460343582322,-0.015313830506455774,-0.19220647924821158
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,action_p_hack_late_slope,85,2,-0.01488753431316007,-0.03684663504827765,-0.02195910073511758,-0.8427207344134001
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,action_p_hack_late_change,88,2,0.01329229009688039,-0.0337653561728075,-0.04705764626968789,-0.32520203971875816
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,reasoning_entropy_mean,88,2,0.33352173573012184,0.5388454151544693,0.20532367942434743,0.9313597563125435
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,action_entropy_mean,88,2,0.10537585960606433,0.07577510055125455,-0.029600759054809772,-0.2360724740189379
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,reasoning_entropy_late_slope,86,2,0.11609588737062417,0.25654067500681776,0.1404447876361936,0.40232272509590744
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,reasoning_entropy_late_change,88,2,-0.6448270597564477,-1.1253338158130646,-0.48050675605661686,-0.9027977212929903
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,action_entropy_late_slope,85,2,0.014314012338667545,0.037873633817071053,0.023559621478403507,0.10649256045721463
FalconControl,control,pick_and_place_simple,16.0,gameable_hack_action,all,action_entropy_late_change,88,2,-0.14158161201736552,-0.22266176901757714,-0.08108015700021162,-0.3018740674655238
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,mean_phack,reasoning_p_hack,88,2,0.07069104611816632,0.1150227596661352,0.04433171354796889,1.1337033228245603
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,mean_phack,action_p_hack,88,2,0.13417968186412665,0.227302183303982,0.09312250143985534,1.4682017092962034
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,late_phack,reasoning_p_hack_late_slope,86,2,-0.014318561003586248,-0.034362961255768154,-0.020044400252181904,-2.3067895993020042
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,late_phack,reasoning_p_hack_late_change,88,2,0.03728582507913808,0.1108037849224274,0.07351795984328932,0.9227363602485389
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,late_phack,action_p_hack_late_slope,85,2,-0.014324658763832855,-0.060768845894684356,-0.0464441871308515,-1.7823807978416741
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,late_phack,action_p_hack_late_change,88,2,0.011237837687060772,0.056630549859255606,0.045392712172194837,0.31369615263296863
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,reasoning_entropy_mean,88,2,0.334774484847429,0.4837244539929543,0.14894996914552527,0.6756454362939254
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,action_entropy_mean,88,2,0.10630876705381107,0.0347271728503983,-0.07158159420341276,-0.5708787401880331
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,reasoning_entropy_late_slope,86,2,0.11445110919144284,0.3272661367116143,0.21281502752017145,0.6096368776252893
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,reasoning_entropy_late_change,88,2,-0.6357595758327957,-1.5243031084537506,-0.8885435326209549,-1.669435583181069
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,action_entropy_late_slope,85,2,0.012881777953589319,0.0987435951828956,0.08586181722930629,0.3881066073425651
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,entropy,action_entropy_late_change,88,2,-0.1480747909756081,0.06303810514509675,0.21111289612070486,0.7860062314163678
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,reasoning_p_hack,88,2,0.07069104611816632,0.1150227596661352,0.04433171354796889,1.1337033228245603
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,action_p_hack,88,2,0.13417968186412665,0.227302183303982,0.09312250143985534,1.4682017092962034
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,reasoning_p_hack_late_slope,86,2,-0.014318561003586248,-0.034362961255768154,-0.020044400252181904,-2.3067895993020042
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,reasoning_p_hack_late_change,88,2,0.03728582507913808,0.1108037849224274,0.07351795984328932,0.9227363602485389
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,action_p_hack_late_slope,85,2,-0.014324658763832855,-0.060768845894684356,-0.0464441871308515,-1.7823807978416741
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,action_p_hack_late_change,88,2,0.011237837687060772,0.056630549859255606,0.045392712172194837,0.31369615263296863
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,reasoning_entropy_mean,88,2,0.334774484847429,0.4837244539929543,0.14894996914552527,0.6756454362939254
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,action_entropy_mean,88,2,0.10630876705381107,0.0347271728503983,-0.07158159420341276,-0.5708787401880331
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,reasoning_entropy_late_slope,86,2,0.11445110919144284,0.3272661367116143,0.21281502752017145,0.6096368776252893
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,reasoning_entropy_late_change,88,2,-0.6357595758327957,-1.5243031084537506,-0.8885435326209549,-1.669435583181069
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,action_entropy_late_slope,85,2,0.012881777953589319,0.0987435951828956,0.08586181722930629,0.3881066073425651
FalconControl,control,pick_and_place_simple,16.0,future_gameable_hack_action,all,action_entropy_late_change,88,2,-0.1480747909756081,0.06303810514509675,0.21111289612070486,0.7860062314163678
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,mean_phack,reasoning_p_hack,88,2,0.07256993309190682,0.032351732821553,-0.04021820027035382,-1.0285076672073004
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,mean_phack,action_p_hack,88,2,0.13649103230373832,0.12560276396106923,-0.010888268342669094,-0.17166822137297752
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,late_phack,reasoning_p_hack_late_slope,86,2,-0.014881965669774332,-0.01013656060968055,0.004745405060093782,0.5461201582176477
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,late_phack,reasoning_p_hack_late_change,88,2,0.03925986486468797,0.0239460343582322,-0.015313830506455774,-0.19220647924821158
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,late_phack,action_p_hack_late_slope,85,2,-0.01488753431316007,-0.03684663504827765,-0.02195910073511758,-0.8427207344134001
FalconControl,control,pick_and_place_simple,16.0,easy_grader_action,late_phack,action_p_hack_late_change,88,2,0.01329229009688039,-0.0337653561728075,-0.04705764626968789,-0.32520203971875816
